image_path,true_label,predicted_label,best_similarity,det_score,face_detected,correct
C:\Users\chait\OneDrive\Documents\ai intership\face-recognition-system\data\test\Colin_Powell\img_006.jpg,Colin_Powell,Colin_Powell,0.8729310631752014,0.8215887546539307,True,True
C:\Users\chait\OneDrive\Documents\ai intership\face-recognition-system\data\test\Colin_Powell\img_007.jpg,Colin_Powell,Colin_Powell,0.8225225210189819,0.8173447847366333,True,True
C:\Users\chait\OneDrive\Documents\ai intership\face-recognition-system\data\test\Colin_Powell\img_008.jpg,Colin_Powell,Colin_Powell,0.8007135391235352,0.8026363849639893,True,True
C:\Users\chait\OneDrive\Documents\ai intership\face-recognition-system\data\test\Donald_Rumsfeld\img_006.jpg,Donald_Rumsfeld,Donald_Rumsfeld,0.8038560748100281,0.8509868383407593,True,True
C:\Users\chait\OneDrive\Documents\ai intership\face-recognition-system\data\test\Donald_Rumsfeld\img_007.jpg,Donald_Rumsfeld,Donald_Rumsfeld,0.6973758935928345,0.8084151148796082,True,True
C:\Users\chait\OneDrive\Documents\ai intership\face-recognition-system\data\test\Donald_Rumsfeld\img_008.jpg,Donald_Rumsfeld,Donald_Rumsfeld,0.8660468459129333,0.8307374715805054,True,True
C:\Users\chait\OneDrive\Documents\ai intership\face-recognition-system\data\test\George_W_Bush\img_006.jpg,George_W_Bush,George_W_Bush,0.8127464652061462,0.8858134746551514,True,True
C:\Users\chait\OneDrive\Documents\ai intership\face-recognition-system\data\test\George_W_Bush\img_007.jpg,George_W_Bush,George_W_Bush,0.7794924974441528,0.825081467628479,True,True
C:\Users\chait\OneDrive\Documents\ai intership\face-recognition-system\data\test\George_W_Bush\img_008.jpg,George_W_Bush,George_W_Bush,0.8717424273490906,0.8614563941955566,True,True
C:\Users\chait\OneDrive\Documents\ai intership\face-recognition-system\data\test\Gerhard_Schroeder\img_006.jpg,Gerhard_Schroeder,Gerhard_Schroeder,0.7991114854812622,0.8365952968597412,True,True
C:\Users\chait\OneDrive\Documents\ai intership\face-recognition-system\data\test\Gerhard_Schroeder\img_007.jpg,Gerhard_Schroeder,Unknown,0.1542506217956543,0.8261085748672485,True,False
C:\Users\chait\OneDrive\Documents\ai intership\face-recognition-system\data\test\Gerhard_Schroeder\img_008.jpg,Gerhard_Schroeder,Gerhard_Schroeder,0.6959758996963501,0.8523255586624146,True,True
C:\Users\chait\OneDrive\Documents\ai intership\face-recognition-system\data\test\Tony_Blair\img_006.jpg,Tony_Blair,Tony_Blair,0.7387629747390747,0.8494343757629395,True,True
C:\Users\chait\OneDrive\Documents\ai intership\face-recognition-system\data\test\Tony_Blair\img_007.jpg,Tony_Blair,Tony_Blair,0.7848701477050781,0.8595058917999268,True,True
C:\Users\chait\OneDrive\Documents\ai intership\face-recognition-system\data\test\Tony_Blair\img_008.jpg,Tony_Blair,Tony_Blair,0.723348081111908,0.8027940988540649,True,True
C:\Users\chait\OneDrive\Documents\ai intership\face-recognition-system\data\test\Unknown\impostor_000.jpg,Unknown,Unknown,0.14174047112464905,0.8153930902481079,True,True
C:\Users\chait\OneDrive\Documents\ai intership\face-recognition-system\data\test\Unknown\impostor_001.jpg,Unknown,Unknown,0.08128905296325684,0.8085858821868896,True,True
C:\Users\chait\OneDrive\Documents\ai intership\face-recognition-system\data\test\Unknown\impostor_002.jpg,Unknown,Unknown,0.07042241096496582,0.8218133449554443,True,True
C:\Users\chait\OneDrive\Documents\ai intership\face-recognition-system\data\test\Unknown\impostor_003.jpg,Unknown,Unknown,0.0975426509976387,0.8413306474685669,True,True
C:\Users\chait\OneDrive\Documents\ai intership\face-recognition-system\data\test\Unknown\impostor_004.jpg,Unknown,Unknown,0.07472115755081177,0.8886961936950684,True,True
C:\Users\chait\OneDrive\Documents\ai intership\face-recognition-system\data\test\Unknown\impostor_005.jpg,Unknown,Unknown,0.06584224104881287,0.8452656269073486,True,True
